% Model,case3_base_model_com_solved_Q_1.2.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 22 2023, 17:13"
% Table,Probe Table - Tout - 
% Time (h),"T_out - 15 m - left (K), Probe_T_out - HE - 15m","T_out - 15 m - left (K), Probe_T_out - HE - 30m","T_out - 15 m - left (K), Probe_T_out - HE - 45m"
371,278.66241492955515,278.6893533668388,278.71024671722546
372,278.61587451910685,278.64333112078435,278.66427821144134
373,278.5954973952784,278.6234121475815,278.64440690220795
374,278.60408438362595,278.6323015107945,278.65331126816153
375,278.66987683434877,278.69825591848365,278.719280194953
376,278.68190997771865,278.7103434685607,278.73133377388433
377,278.6744436266536,278.70298778999364,278.72397888792153
378,278.6473215801001,278.6760592804784,278.6970944772449
379,278.6148231184956,278.64380346577053,278.66491154088436
380,278.5367526995447,278.56598858748606,278.58716208769755
381,278.4335515389413,278.4630994679181,278.48435812825574
382,278.334403953494,278.3642850848124,278.38565185027005
383,278.34647830088636,278.37652887641457,278.3980163436139
384,278.421604841396,278.45144154101393,278.47295196234086
385,278.51947654162046,278.54878793718916,278.57022536230875
386,278.59758833297536,278.6261448486861,278.6474287386975
387,278.63837647247425,278.66621079355997,278.6873592204226
388,278.64528437745946,278.67262504966186,278.69371074263483
389,278.56485472348146,278.5921036687674,278.6131570893082
390,278.44856285047314,278.4760343269733,278.4970925775252
391,278.31812958369136,278.34604471708803,278.36713419398035
392,278.16353711447005,278.19208189819057,278.21321409955493
393,278.03562512417506,278.06492958977157,278.08613505350473
394,277.9033735959728,277.93344513552927,277.95470578898806
395,277.77749355616857,277.80835735870284,277.82968330751385
396,277.67232723178523,277.70399667575623,277.725406169181
397,277.5485647257017,277.5810172145622,277.6024973655295
398,277.4648008778706,277.4980533948932,277.5196492699317
399,277.41422037140165,277.4481896012324,277.4699097830888
400,277.4740966238723,277.5085354103759,277.530383047123
401,277.54903622059095,277.5836596585885,277.60555663012576
402,277.59418836879655,277.62874019252126,277.6506091206917
403,277.61891074316463,277.6534295659688,277.6753578020783
404,277.62023323357215,277.6547156310916,277.67672637965694
405,277.6153160999708,277.64972826592526,277.67183194963144
406,277.6270112058839,277.66125703759775,277.6834514579503
407,277.76044213608236,277.794251569735,277.8165304481615
408,277.97254905466093,278.00544200932205,278.02769737976075
409,278.18516398386583,278.21674334932845,278.2388539949953
410,278.3694985057626,278.399647228329,278.42157638080704
411,278.4744108980557,278.5032784366961,278.5250396596857
412,278.5193761600148,278.54729591408426,278.56895343745066
